Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time,SS.
Peroulak,C2,1,Achaios,24/9/2023,Tarmac,Cup,1,392.82,392.82,Achaios_01
Koukeas ,C1,1,Achaios,24/9/2023,Tarmac,Cup,2,394.87,392.82,Achaios_01
Stafilop,4 2000+,1,Achaios,24/9/2023,Tarmac,Cup,3,399.1,392.82,Achaios_01
Karathan,C5 F2,1,Achaios,24/9/2023,Tarmac,Cup,4,408.8,392.82,Achaios_01
Daskalop,C2,1,Achaios,24/9/2023,Tarmac,Cup,5,409.94,392.82,Achaios_01
Dermas V,C3 F2,1,Achaios,24/9/2023,Tarmac,Cup,6,411.92,392.82,Achaios_01
Kapralos,C3 F2,1,Achaios,24/9/2023,Tarmac,Cup,7,419.33,392.82,Achaios_01
Katsarel,C3 F2,1,Achaios,24/9/2023,Tarmac,Cup,8,421.51,392.82,Achaios_01
Rocco Gi,4 2000+,1,Achaios,24/9/2023,Tarmac,Cup,9,424.16,392.82,Achaios_01
Papadopo,C2,1,Achaios,24/9/2023,Tarmac,Cup,10,425.84,392.82,Achaios_01
Kandilio,C2,1,Achaios,24/9/2023,Tarmac,Cup,11,427.63,392.82,Achaios_01
Katsikas,3 2000,1,Achaios,24/9/2023,Tarmac,Cup,12,435.34,392.82,Achaios_01
Kondilis,C5 F2,1,Achaios,24/9/2023,Tarmac,Cup,13,437.98,392.82,Achaios_01
Rekkas P,C6 F2,1,Achaios,24/9/2023,Tarmac,Cup,14,439.3,392.82,Achaios_01
Tiros Ni,C6 F2,1,Achaios,24/9/2023,Tarmac,Cup,15,439.93,392.82,Achaios_01
Kaberos ,C3 F2,1,Achaios,24/9/2023,Tarmac,Cup,16,440.87,392.82,Achaios_01
Nomikos ,C1,1,Achaios,24/9/2023,Tarmac,Cup,17,443.87,392.82,Achaios_01
Labropou,C2,1,Achaios,24/9/2023,Tarmac,Cup,18,444.1,392.82,Achaios_01
Kaberos ,C3 F2,1,Achaios,24/9/2023,Tarmac,Cup,19,446.38,392.82,Achaios_01
Amaxopou,2 -1600,1,Achaios,24/9/2023,Tarmac,Cup,20,448.15,392.82,Achaios_01
Fountas ,C6 F2,1,Achaios,24/9/2023,Tarmac,Cup,21,453.64,392.82,Achaios_01
Kalyviot,C6 F2,1,Achaios,24/9/2023,Tarmac,Cup,22,454.66,392.82,Achaios_01
Gavriili,4 2000+,1,Achaios,24/9/2023,Tarmac,Cup,23,461.46,392.82,Achaios_01
Yamalaki,3,1,Achaios,24/9/2023,Tarmac,Cup,24,463.66,392.82,Achaios_01
Kouniaki,C6 F2,1,Achaios,24/9/2023,Tarmac,Cup,25,466.9,392.82,Achaios_01
Papazogl,4 2000+,1,Achaios,24/9/2023,Tarmac,Cup,26,472.28,392.82,Achaios_01
Dekis Pa,C6 F2,1,Achaios,24/9/2023,Tarmac,Cup,27,477.87,392.82,Achaios_01
Bertsato,C3 F2,1,Achaios,24/9/2023,Tarmac,Cup,28,481.89,392.82,Achaios_01
Karouzos,C4 F2,1,Achaios,24/9/2023,Tarmac,Cup,29,483.04,392.82,Achaios_01
Diamanti,C4 F2,1,Achaios,24/9/2023,Tarmac,Cup,30,495.76,392.82,Achaios_01
Mitropou,2 2000,1,Achaios,24/9/2023,Tarmac,Cup,31,497.28,392.82,Achaios_01
Markopou,C5 F2,1,Achaios,24/9/2023,Tarmac,Cup,32,509.6,392.82,Achaios_01
Lykakis ,2 -1600,1,Achaios,24/9/2023,Tarmac,Cup,33,531.45,392.82,Achaios_01
Koukeas ,C1,2,Achaios,24/9/2023,Tarmac,Cup,1,384.84,384.84,Achaios_02
Peroulak,C2,2,Achaios,24/9/2023,Tarmac,Cup,2,385.43,384.84,Achaios_02
Stafilop,4 2000+,2,Achaios,24/9/2023,Tarmac,Cup,3,387.74,384.84,Achaios_02
Dermas V,C3 F2,2,Achaios,24/9/2023,Tarmac,Cup,4,399.6,384.84,Achaios_02
Kapralos,C3 F2,2,Achaios,24/9/2023,Tarmac,Cup,5,406.86,384.84,Achaios_02
Katsarel,C3 F2,2,Achaios,24/9/2023,Tarmac,Cup,6,414.61,384.84,Achaios_02
Papadopo,C2,2,Achaios,24/9/2023,Tarmac,Cup,7,416.27,384.84,Achaios_02
Nomikos ,C1,2,Achaios,24/9/2023,Tarmac,Cup,8,424.07,384.84,Achaios_02
Rocco Gi,4 2000+,2,Achaios,24/9/2023,Tarmac,Cup,9,424.83,384.84,Achaios_02
Katsikas,3 2000,2,Achaios,24/9/2023,Tarmac,Cup,10,425.76,384.84,Achaios_02
Kondilis,C5 F2,2,Achaios,24/9/2023,Tarmac,Cup,11,429.01,384.84,Achaios_02
Daskalop,C2,2,Achaios,24/9/2023,Tarmac,Cup,12,429.02,384.84,Achaios_02
Labropou,C2,2,Achaios,24/9/2023,Tarmac,Cup,13,430.6,384.84,Achaios_02
Rekkas P,C6 F2,2,Achaios,24/9/2023,Tarmac,Cup,14,433.58,384.84,Achaios_02
Kaberos ,C3 F2,2,Achaios,24/9/2023,Tarmac,Cup,15,434.18,384.84,Achaios_02
Tiros Ni,C6 F2,2,Achaios,24/9/2023,Tarmac,Cup,16,434.55,384.84,Achaios_02
Fountas ,C6 F2,2,Achaios,24/9/2023,Tarmac,Cup,17,437.09,384.84,Achaios_02
Amaxopou,2 -1600,2,Achaios,24/9/2023,Tarmac,Cup,18,438.19,384.84,Achaios_02
Kalyviot,C6 F2,2,Achaios,24/9/2023,Tarmac,Cup,19,439.61,384.84,Achaios_02
Kaberos ,C3 F2,2,Achaios,24/9/2023,Tarmac,Cup,20,447.56,384.84,Achaios_02
Papazogl,4 2000+,2,Achaios,24/9/2023,Tarmac,Cup,21,457.57,384.84,Achaios_02
Kouniaki,C6 F2,2,Achaios,24/9/2023,Tarmac,Cup,22,460.16,384.84,Achaios_02
Gavriili,4 2000+,2,Achaios,24/9/2023,Tarmac,Cup,23,462.55,384.84,Achaios_02
Dekis Pa,C6 F2,2,Achaios,24/9/2023,Tarmac,Cup,24,470.66,384.84,Achaios_02
Markopou,C5 F2,2,Achaios,24/9/2023,Tarmac,Cup,25,470.87,384.84,Achaios_02
Mitropou,2 2000,2,Achaios,24/9/2023,Tarmac,Cup,26,481.86,384.84,Achaios_02
Karouzos,C4 F2,2,Achaios,24/9/2023,Tarmac,Cup,27,482.12,384.84,Achaios_02
Bertsato,C3 F2,2,Achaios,24/9/2023,Tarmac,Cup,28,488.0,384.84,Achaios_02
Diamanti,C4 F2,2,Achaios,24/9/2023,Tarmac,Cup,29,490.9,384.84,Achaios_02
Karathan,C5 F2,2,Achaios,24/9/2023,Tarmac,Cup,30,720.43,384.84,Achaios_02
Koukeas ,C1,3,Achaios,24/9/2023,Tarmac,Cup,1,379.1,379.1,Achaios_03
Peroulak,C2,3,Achaios,24/9/2023,Tarmac,Cup,2,380.65,379.1,Achaios_03
Stafilop,4 2000+,3,Achaios,24/9/2023,Tarmac,Cup,3,389.94,379.1,Achaios_03
Dermas V,C3 F2,3,Achaios,24/9/2023,Tarmac,Cup,4,407.02,379.1,Achaios_03
Papadopo,C2,3,Achaios,24/9/2023,Tarmac,Cup,5,416.48,379.1,Achaios_03
Karathan,C5 F2,3,Achaios,24/9/2023,Tarmac,Cup,6,418.2,379.1,Achaios_03
Nomikos ,C1,3,Achaios,24/9/2023,Tarmac,Cup,7,419.23,379.1,Achaios_03
Katsarel,C3 F2,3,Achaios,24/9/2023,Tarmac,Cup,8,420.88,379.1,Achaios_03
Katsikas,3 2000,3,Achaios,24/9/2023,Tarmac,Cup,9,425.62,379.1,Achaios_03
Tiros Ni,C6 F2,3,Achaios,24/9/2023,Tarmac,Cup,10,426.46,379.1,Achaios_03
Labropou,C2,3,Achaios,24/9/2023,Tarmac,Cup,11,426.96,379.1,Achaios_03
Rekkas P,C6 F2,3,Achaios,24/9/2023,Tarmac,Cup,12,428.81,379.1,Achaios_03
Kondilis,C5 F2,3,Achaios,24/9/2023,Tarmac,Cup,13,431.45,379.1,Achaios_03
Kalyviot,C6 F2,3,Achaios,24/9/2023,Tarmac,Cup,14,438.93,379.1,Achaios_03
Kaberos ,C3 F2,3,Achaios,24/9/2023,Tarmac,Cup,15,438.96,379.1,Achaios_03
Kaberos ,C3 F2,3,Achaios,24/9/2023,Tarmac,Cup,16,449.01,379.1,Achaios_03
Gavriili,4 2000+,3,Achaios,24/9/2023,Tarmac,Cup,17,450.11,379.1,Achaios_03
Rocco Gi,4 2000+,3,Achaios,24/9/2023,Tarmac,Cup,18,454.6,379.1,Achaios_03
Kouniaki,C6 F2,3,Achaios,24/9/2023,Tarmac,Cup,19,458.41,379.1,Achaios_03
Markopou,C5 F2,3,Achaios,24/9/2023,Tarmac,Cup,20,462.26,379.1,Achaios_03
Dekis Pa,C6 F2,3,Achaios,24/9/2023,Tarmac,Cup,21,468.73,379.1,Achaios_03
Bertsato,C3 F2,3,Achaios,24/9/2023,Tarmac,Cup,22,476.22,379.1,Achaios_03
Karouzos,C4 F2,3,Achaios,24/9/2023,Tarmac,Cup,23,478.07,379.1,Achaios_03
Amaxopou,2 -1600,3,Achaios,24/9/2023,Tarmac,Cup,24,481.82,379.1,Achaios_03
Mitropou,2 2000,3,Achaios,24/9/2023,Tarmac,Cup,25,484.98,379.1,Achaios_03
Diamanti,C4 F2,3,Achaios,24/9/2023,Tarmac,Cup,26,485.13,379.1,Achaios_03
Kapralos,C3 F2,3,Achaios,24/9/2023,Tarmac,Cup,27,487.71,379.1,Achaios_03
Papazogl,4 2000+,3,Achaios,24/9/2023,Tarmac,Cup,28,525.29,379.1,Achaios_03
Koukeas ,C1,1,Aigio,23/4/2023,Tarmac,cup,1,573.76,573.76,Aigio_01
Moschos ,C3 F2,1,Aigio,23/4/2023,Tarmac,cup,2,584.77,573.76,Aigio_01
Nomikos ,C1,1,Aigio,23/4/2023,Tarmac,cup,3,586.42,573.76,Aigio_01
Gerodimo,C2,1,Aigio,23/4/2023,Tarmac,cup,4,593.09,573.76,Aigio_01
Kapralos,C3 F2,1,Aigio,23/4/2023,Tarmac,cup,5,601.76,573.76,Aigio_01
Kondilis,C5 F2,1,Aigio,23/4/2023,Tarmac,cup,6,607.9,573.76,Aigio_01
Karathan,C5 F2,1,Aigio,23/4/2023,Tarmac,cup,7,610.93,573.76,Aigio_01
Kopanaki,C4 F2,1,Aigio,23/4/2023,Tarmac,cup,8,617.24,573.76,Aigio_01
Katsarel,C3 F2,1,Aigio,23/4/2023,Tarmac,cup,9,621.93,573.76,Aigio_01
Pantiera,C6 F2,1,Aigio,23/4/2023,Tarmac,cup,10,626.45,573.76,Aigio_01
Basdelis,C6 F2,1,Aigio,23/4/2023,Tarmac,cup,11,628.23,573.76,Aigio_01
Avgeropo,C4 F2,1,Aigio,23/4/2023,Tarmac,cup,12,628.64,573.76,Aigio_01
Tiros Ni,C6 F2,1,Aigio,23/4/2023,Tarmac,cup,13,631.37,573.76,Aigio_01
Tzikopou,C3 F2,1,Aigio,23/4/2023,Tarmac,cup,14,633.67,573.76,Aigio_01
Pantelak,C3 F2,1,Aigio,23/4/2023,Tarmac,cup,15,635.14,573.76,Aigio_01
Daskalop,C2,1,Aigio,23/4/2023,Tarmac,cup,16,636.78,573.76,Aigio_01
Kaberos ,C3 F2,1,Aigio,23/4/2023,Tarmac,cup,17,639.57,573.76,Aigio_01
Mavromat,C6 F2,1,Aigio,23/4/2023,Tarmac,cup,18,643.47,573.76,Aigio_01
Kouniaki,C6 F2,1,Aigio,23/4/2023,Tarmac,cup,19,645.52,573.76,Aigio_01
Komnos N,C5 F2,1,Aigio,23/4/2023,Tarmac,cup,20,645.61,573.76,Aigio_01
Zizas Ag,C5 F2,1,Aigio,23/4/2023,Tarmac,cup,21,652.34,573.76,Aigio_01
Rekkas P,C6 F2,1,Aigio,23/4/2023,Tarmac,cup,22,659.46,573.76,Aigio_01
Stafilop,4 2000+,1,Aigio,23/4/2023,Tarmac,cup,23,660.0,573.76,Aigio_01
Amaxopou,2 1600,1,Aigio,23/4/2023,Tarmac,cup,24,660.0,573.76,Aigio_01
Gerovass,4 2000,1,Aigio,23/4/2023,Tarmac,cup,25,660.0,573.76,Aigio_01
Kofinas ,4 2000+,1,Aigio,23/4/2023,Tarmac,cup,26,660.0,573.76,Aigio_01
Kyriakop,4 1600,1,Aigio,23/4/2023,Tarmac,cup,27,660.0,573.76,Aigio_01
Katsikas,3 2000,1,Aigio,23/4/2023,Tarmac,cup,28,660.0,573.76,Aigio_01
Papazogl,4 2000+,1,Aigio,23/4/2023,Tarmac,cup,29,660.0,573.76,Aigio_01
Tsiplant,3 1600,1,Aigio,23/4/2023,Tarmac,cup,30,660.0,573.76,Aigio_01
Kassidop,3 1600,1,Aigio,23/4/2023,Tarmac,cup,31,660.0,573.76,Aigio_01
Mitropou,2 2000,1,Aigio,23/4/2023,Tarmac,cup,32,660.0,573.76,Aigio_01
Lykakis ,2 2000,1,Aigio,23/4/2023,Tarmac,cup,33,660.0,573.76,Aigio_01
Kaberos ,C3 F2,1,Aigio,23/4/2023,Tarmac,cup,34,669.41,573.76,Aigio_01
Kandilio,C2,1,Aigio,23/4/2023,Tarmac,cup,35,678.67,573.76,Aigio_01
Karouzos,C4 F2,1,Aigio,23/4/2023,Tarmac,cup,36,686.06,573.76,Aigio_01
Zois Dim,C5 F2,1,Aigio,23/4/2023,Tarmac,cup,37,1152.05,573.76,Aigio_01
Koukeas ,C1,2,Aigio,23/4/2023,Tarmac,cup,1,580.53,580.53,Aigio_02
Gerodimo,C2,2,Aigio,23/4/2023,Tarmac,cup,2,581.85,580.53,Aigio_02
Nomikos ,C1,2,Aigio,23/4/2023,Tarmac,cup,3,595.82,580.53,Aigio_02
Karathan,C5 F2,2,Aigio,23/4/2023,Tarmac,cup,4,598.72,580.53,Aigio_02
Komnos N,C5 F2,2,Aigio,23/4/2023,Tarmac,cup,5,602.68,580.53,Aigio_02
Kandilio,C2,2,Aigio,23/4/2023,Tarmac,cup,6,605.59,580.53,Aigio_02
Stafilop,4 2000+,2,Aigio,23/4/2023,Tarmac,cup,7,607.49,580.53,Aigio_02
