Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time,SS.
Mitropou,2 2000,3,Fthiotidas_T,1/7/2023,Tarmac,Championship,39,1290.9,941.2,Fthiotidas_T_03
Nomikos ,4 -1600,3,Fthiotidas_T,1/7/2023,Tarmac,Championship,40,1307.68,941.2,Fthiotidas_T_03
Argiriou,C2,3,Fthiotidas_T,1/7/2023,Tarmac,Championship,41,1399.55,941.2,Fthiotidas_T_03
Anagnost,C4 F2,3,Fthiotidas_T,1/7/2023,Tarmac,Championship,42,1446.06,941.2,Fthiotidas_T_03
Koukeas ,C1,3,Fthiotidas_T,1/7/2023,Tarmac,Championship,43,2066.66,941.2,Fthiotidas_T_03
Papadimi,C1,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,1,411.5,411.5,Fthiotidas_T_04
Anapolio,C1,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,2,415.1,411.5,Fthiotidas_T_04
Avgeropo,C4 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,3,427.87,411.5,Fthiotidas_T_04
Mihos Di,C3 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,4,428.77,411.5,Fthiotidas_T_04
Koukeas ,C1,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,5,429.04,411.5,Fthiotidas_T_04
Ktistaki,C3 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,6,430.72,411.5,Fthiotidas_T_04
Konstant,C3 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,7,432.14,411.5,Fthiotidas_T_04
Aligizak,C1,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,8,434.13,411.5,Fthiotidas_T_04
Gerodimo,C2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,9,440.75,411.5,Fthiotidas_T_04
Vergozis,C5 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,10,451.84,411.5,Fthiotidas_T_04
Titakis ,C3 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,11,453.21,411.5,Fthiotidas_T_04
Bistas I,C2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,12,456.24,411.5,Fthiotidas_T_04
Stratiev,C3 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,13,462.22,411.5,Fthiotidas_T_04
Vatsos N,C3 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,14,463.09,411.5,Fthiotidas_T_04
Stergiad,C5 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,15,463.73,411.5,Fthiotidas_T_04
Kazanas ,C2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,16,465.81,411.5,Fthiotidas_T_04
Tomov Al,C6 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,17,468.72,411.5,Fthiotidas_T_04
Baxevana,C3 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,18,473.64,411.5,Fthiotidas_T_04
Avramidi,C6 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,19,474.62,411.5,Fthiotidas_T_04
Michail ,C5 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,20,474.95,411.5,Fthiotidas_T_04
Argiriou,C2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,21,478.44,411.5,Fthiotidas_T_04
Massiala,C6 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,22,478.51,411.5,Fthiotidas_T_04
Kyriakop,4 -1600,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,23,479.17,411.5,Fthiotidas_T_04
Tsitsigi,C5 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,24,485.9,411.5,Fthiotidas_T_04
Polatsid,C5 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,25,486.7,411.5,Fthiotidas_T_04
Papazogl,4 2000+,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,26,489.18,411.5,Fthiotidas_T_04
Amaxopou,2 -1600,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,27,491.12,411.5,Fthiotidas_T_04
Papadimi,4 2000,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,28,496.38,411.5,Fthiotidas_T_04
Karagioz,C3 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,29,501.39,411.5,Fthiotidas_T_04
Rocco Gi,4 2000+,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,30,505.22,411.5,Fthiotidas_T_04
Kofinas ,4 2000+,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,31,506.91,411.5,Fthiotidas_T_04
Halivela,3 2000,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,32,507.55,411.5,Fthiotidas_T_04
Michos I,C5 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,33,510.24,411.5,Fthiotidas_T_04
Diamanti,C4 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,34,514.27,411.5,Fthiotidas_T_04
Bandras ,C6 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,35,515.89,411.5,Fthiotidas_T_04
Kougias ,C3 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,36,533.76,411.5,Fthiotidas_T_04
Nomikos ,4 -1600,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,37,535.68,411.5,Fthiotidas_T_04
Gavriili,4 2000+,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,38,544.81,411.5,Fthiotidas_T_04
Stafilop,4 2000+,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,39,546.18,411.5,Fthiotidas_T_04
Georgako,4 -1600,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,40,555.1,411.5,Fthiotidas_T_04
Mitropou,2 2000,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,41,568.74,411.5,Fthiotidas_T_04
Manousko,C6 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,42,656.45,411.5,Fthiotidas_T_04
Anagnost,C4 F2,4,Fthiotidas_T,1/7/2023,Tarmac,Championship,43,657.42,411.5,Fthiotidas_T_04
Papadimi,C1,1,Graikas,19/11/2023,Gravel,Cup,1,708.71,708.71,Graikas_01
Tsetsoni,C2,1,Graikas,19/11/2023,Gravel,Cup,2,753.2,708.71,Graikas_01
Zygogian,C2,1,Graikas,19/11/2023,Gravel,Cup,3,756.86,708.71,Graikas_01
Tsoulos ,C2,1,Graikas,19/11/2023,Gravel,Cup,4,758.28,708.71,Graikas_01
Lainopou,C2,1,Graikas,19/11/2023,Gravel,Cup,5,767.55,708.71,Graikas_01
Dimopoul,C4 F2,1,Graikas,19/11/2023,Gravel,Cup,6,780.1,708.71,Graikas_01
Stavropo,C6 F2,1,Graikas,19/11/2023,Gravel,Cup,7,785.51,708.71,Graikas_01
Kastis C,C5 F2,1,Graikas,19/11/2023,Gravel,Cup,8,793.48,708.71,Graikas_01
Davaris ,C2,1,Graikas,19/11/2023,Gravel,Cup,9,794.05,708.71,Graikas_01
Antoniou,C3 F2,1,Graikas,19/11/2023,Gravel,Cup,10,798.48,708.71,Graikas_01
Gazetas ,C6 F2,1,Graikas,19/11/2023,Gravel,Cup,11,799.52,708.71,Graikas_01
Anastass,C4 F2,1,Graikas,19/11/2023,Gravel,Cup,12,800.47,708.71,Graikas_01
Manetas ,C4 F2,1,Graikas,19/11/2023,Gravel,Cup,13,805.81,708.71,Graikas_01
Agathokl,C3 F2,1,Graikas,19/11/2023,Gravel,Cup,14,810.06,708.71,Graikas_01
Sotiropo,C6 F2,1,Graikas,19/11/2023,Gravel,Cup,15,832.5,708.71,Graikas_01
Pateas A,C6 F2,1,Graikas,19/11/2023,Gravel,Cup,16,840.82,708.71,Graikas_01
Karagoun,C3 F2,1,Graikas,19/11/2023,Gravel,Cup,17,866.49,708.71,Graikas_01
Katevas ,C6 F2,1,Graikas,19/11/2023,Gravel,Cup,18,880.36,708.71,Graikas_01
Likomitr,C3 F2,1,Graikas,19/11/2023,Gravel,Cup,19,881.26,708.71,Graikas_01
Englezos,C6 F2,1,Graikas,19/11/2023,Gravel,Cup,20,887.73,708.71,Graikas_01
Mantas P,C6 F2,1,Graikas,19/11/2023,Gravel,Cup,21,906.52,708.71,Graikas_01
Andrikop,C5 F2,1,Graikas,19/11/2023,Gravel,Cup,22,907.64,708.71,Graikas_01
Karouzos,C4 F2,1,Graikas,19/11/2023,Gravel,Cup,23,946.77,708.71,Graikas_01
Lathouri,C4 F2,1,Graikas,19/11/2023,Gravel,Cup,24,983.44,708.71,Graikas_01
Kokkinos,C6 F2,1,Graikas,19/11/2023,Gravel,Cup,25,1009.95,708.71,Graikas_01
Papadopo,C2,1,Graikas,19/11/2023,Gravel,Cup,26,1058.04,708.71,Graikas_01
Panoutso,C5 F2,1,Graikas,19/11/2023,Gravel,Cup,27,1087.67,708.71,Graikas_01
Vorrias ,T1,1,Graikas,19/11/2023,Gravel,Cup,28,1318.14,708.71,Graikas_01
Papadimi,C1,2,Graikas,19/11/2023,Gravel,Cup,1,701.23,701.23,Graikas_02
Lainopou,C2,2,Graikas,19/11/2023,Gravel,Cup,2,720.98,701.23,Graikas_02
Papadopo,C2,2,Graikas,19/11/2023,Gravel,Cup,3,743.64,701.23,Graikas_02
Tsoulos ,C2,2,Graikas,19/11/2023,Gravel,Cup,4,744.44,701.23,Graikas_02
Tsetsoni,C2,2,Graikas,19/11/2023,Gravel,Cup,5,752.91,701.23,Graikas_02
Zygogian,C2,2,Graikas,19/11/2023,Gravel,Cup,6,762.61,701.23,Graikas_02
Panoutso,C5 F2,2,Graikas,19/11/2023,Gravel,Cup,7,773.77,701.23,Graikas_02
Kastis C,C5 F2,2,Graikas,19/11/2023,Gravel,Cup,8,782.22,701.23,Graikas_02
Davaris ,C2,2,Graikas,19/11/2023,Gravel,Cup,9,791.38,701.23,Graikas_02
Stavropo,C6 F2,2,Graikas,19/11/2023,Gravel,Cup,10,792.23,701.23,Graikas_02
Anastass,C4 F2,2,Graikas,19/11/2023,Gravel,Cup,11,794.29,701.23,Graikas_02
Manetas ,C4 F2,2,Graikas,19/11/2023,Gravel,Cup,12,794.74,701.23,Graikas_02
Agathokl,C3 F2,2,Graikas,19/11/2023,Gravel,Cup,13,794.84,701.23,Graikas_02
Sotiropo,C6 F2,2,Graikas,19/11/2023,Gravel,Cup,14,801.89,701.23,Graikas_02
Antoniou,C3 F2,2,Graikas,19/11/2023,Gravel,Cup,15,803.06,701.23,Graikas_02
Gazetas ,C6 F2,2,Graikas,19/11/2023,Gravel,Cup,16,805.66,701.23,Graikas_02
Vorrias ,T1,2,Graikas,19/11/2023,Gravel,Cup,17,819.18,701.23,Graikas_02
Karagoun,C3 F2,2,Graikas,19/11/2023,Gravel,Cup,18,825.07,701.23,Graikas_02
Pateas A,C6 F2,2,Graikas,19/11/2023,Gravel,Cup,19,827.89,701.23,Graikas_02
Kokkinos,C6 F2,2,Graikas,19/11/2023,Gravel,Cup,20,846.02,701.23,Graikas_02
Katevas ,C6 F2,2,Graikas,19/11/2023,Gravel,Cup,21,854.9,701.23,Graikas_02
Englezos,C6 F2,2,Graikas,19/11/2023,Gravel,Cup,22,866.26,701.23,Graikas_02
Mantas P,C6 F2,2,Graikas,19/11/2023,Gravel,Cup,23,868.51,701.23,Graikas_02
Likomitr,C3 F2,2,Graikas,19/11/2023,Gravel,Cup,24,885.29,701.23,Graikas_02
Andrikop,C5 F2,2,Graikas,19/11/2023,Gravel,Cup,25,908.69,701.23,Graikas_02
Karouzos,C4 F2,2,Graikas,19/11/2023,Gravel,Cup,26,925.54,701.23,Graikas_02
Lathouri,C4 F2,2,Graikas,19/11/2023,Gravel,Cup,27,955.16,701.23,Graikas_02
Lainopou,C2,3,Graikas,19/11/2023,Gravel,Cup,1,726.29,726.29,Graikas_03
Papadimi,C1,3,Graikas,19/11/2023,Gravel,Cup,2,731.16,726.29,Graikas_03
Papadopo,C2,3,Graikas,19/11/2023,Gravel,Cup,3,732.49,726.29,Graikas_03
Tsetsoni,C2,3,Graikas,19/11/2023,Gravel,Cup,4,748.02,726.29,Graikas_03
Tsoulos ,C2,3,Graikas,19/11/2023,Gravel,Cup,5,754.42,726.29,Graikas_03
Stavropo,C6 F2,3,Graikas,19/11/2023,Gravel,Cup,6,791.2,726.29,Graikas_03
Antoniou,C3 F2,3,Graikas,19/11/2023,Gravel,Cup,7,796.09,726.29,Graikas_03
Anastass,C4 F2,3,Graikas,19/11/2023,Gravel,Cup,8,798.79,726.29,Graikas_03
Kastis C,C5 F2,3,Graikas,19/11/2023,Gravel,Cup,9,801.96,726.29,Graikas_03
Davaris ,C2,3,Graikas,19/11/2023,Gravel,Cup,10,802.95,726.29,Graikas_03
Sotiropo,C6 F2,3,Graikas,19/11/2023,Gravel,Cup,11,807.8,726.29,Graikas_03
Agathokl,C3 F2,3,Graikas,19/11/2023,Gravel,Cup,12,813.28,726.29,Graikas_03
Gazetas ,C6 F2,3,Graikas,19/11/2023,Gravel,Cup,13,813.5,726.29,Graikas_03
Manetas ,C4 F2,3,Graikas,19/11/2023,Gravel,Cup,14,826.73,726.29,Graikas_03
Pateas A,C6 F2,3,Graikas,19/11/2023,Gravel,Cup,15,829.27,726.29,Graikas_03
Vorrias ,T1,3,Graikas,19/11/2023,Gravel,Cup,16,831.8,726.29,Graikas_03
Kokkinos,C6 F2,3,Graikas,19/11/2023,Gravel,Cup,17,843.37,726.29,Graikas_03
Katevas ,C6 F2,3,Graikas,19/11/2023,Gravel,Cup,18,863.55,726.29,Graikas_03
Zygogian,C2,3,Graikas,19/11/2023,Gravel,Cup,19,873.56,726.29,Graikas_03
Mantas P,C6 F2,3,Graikas,19/11/2023,Gravel,Cup,20,885.78,726.29,Graikas_03
Andrikop,C5 F2,3,Graikas,19/11/2023,Gravel,Cup,21,966.83,726.29,Graikas_03
Karouzos,C4 F2,3,Graikas,19/11/2023,Gravel,Cup,22,976.34,726.29,Graikas_03
Lathouri,C4 F2,3,Graikas,19/11/2023,Gravel,Cup,23,987.66,726.29,Graikas_03
Panoutso,C5 F2,3,Graikas,19/11/2023,Gravel,Cup,24,997.34,726.29,Graikas_03
Tsouloft,C1,1,Kentavros,14/5/2023,Tarmac,Championship,1,579.98,579.98,Kentavros_01
Peroulak,C2,1,Kentavros,14/5/2023,Tarmac,Championship,2,606.27,579.98,Kentavros_01
Ktistaki,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,3,620.02,579.98,Kentavros_01
Korakas ,C2,1,Kentavros,14/5/2023,Tarmac,Championship,4,621.26,579.98,Kentavros_01
Gerodimo,C2,1,Kentavros,14/5/2023,Tarmac,Championship,5,623.98,579.98,Kentavros_01
Titakis ,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,6,633.0,579.98,Kentavros_01
Karlioti,C5 F2,1,Kentavros,14/5/2023,Tarmac,Championship,7,633.41,579.98,Kentavros_01
Mihos Di,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,8,633.82,579.98,Kentavros_01
Moschos ,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,9,635.75,579.98,Kentavros_01
Argiriou,C2,1,Kentavros,14/5/2023,Tarmac,Championship,10,636.79,579.98,Kentavros_01
Vergozis,C5 F2,1,Kentavros,14/5/2023,Tarmac,Championship,11,645.34,579.98,Kentavros_01
Stergiad,C5 F2,1,Kentavros,14/5/2023,Tarmac,Championship,12,645.74,579.98,Kentavros_01
Koutsodi,C6 F2,1,Kentavros,14/5/2023,Tarmac,Championship,13,647.4,579.98,Kentavros_01
Nomikos ,C1,1,Kentavros,14/5/2023,Tarmac,Championship,14,649.35,579.98,Kentavros_01
Komnos N,C5 F2,1,Kentavros,14/5/2023,Tarmac,Championship,15,649.92,579.98,Kentavros_01
Konstant,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,16,650.18,579.98,Kentavros_01
Skoulari,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,17,653.78,579.98,Kentavros_01
Vatsos N,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,18,655.58,579.98,Kentavros_01
Perakis ,C4 F2,1,Kentavros,14/5/2023,Tarmac,Championship,19,655.6,579.98,Kentavros_01
Vastardi,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,20,661.38,579.98,Kentavros_01
Tiros Ni,C6 F2,1,Kentavros,14/5/2023,Tarmac,Championship,21,662.52,579.98,Kentavros_01
Lakis A.,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,22,663.83,579.98,Kentavros_01
Avramidi,C6 F2,1,Kentavros,14/5/2023,Tarmac,Championship,23,676.63,579.98,Kentavros_01
Giannoul,C5 F2,1,Kentavros,14/5/2023,Tarmac,Championship,24,684.02,579.98,Kentavros_01
Tsitsigi,C5 F2,1,Kentavros,14/5/2023,Tarmac,Championship,25,686.59,579.98,Kentavros_01
Anagnost,C4 F2,1,Kentavros,14/5/2023,Tarmac,Championship,26,689.51,579.98,Kentavros_01
Stamatak,C6 F2,1,Kentavros,14/5/2023,Tarmac,Championship,27,698.35,579.98,Kentavros_01
Xenokost,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,28,699.35,579.98,Kentavros_01
Manousko,C6 F2,1,Kentavros,14/5/2023,Tarmac,Championship,29,702.05,579.98,Kentavros_01
Massiala,C6 F2,1,Kentavros,14/5/2023,Tarmac,Championship,30,705.55,579.98,Kentavros_01
Baxevana,C6 F2,1,Kentavros,14/5/2023,Tarmac,Championship,31,731.41,579.98,Kentavros_01
Figioris,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,32,740.25,579.98,Kentavros_01
Anastasi,C5 F2,1,Kentavros,14/5/2023,Tarmac,Championship,33,745.36,579.98,Kentavros_01
Diamanti,C4 F2,1,Kentavros,14/5/2023,Tarmac,Championship,34,747.75,579.98,Kentavros_01
Kehagias,C5 F2,1,Kentavros,14/5/2023,Tarmac,Championship,35,785.5,579.98,Kentavros_01
Michail ,C5 F2,1,Kentavros,14/5/2023,Tarmac,Championship,36,,579.98,Kentavros_01
Mossios ,C6 F2,1,Kentavros,14/5/2023,Tarmac,Championship,37,,579.98,Kentavros_01
Tsouloft,C1,2,Kentavros,14/5/2023,Tarmac,Championship,1,361.75,361.75,Kentavros_02
Ktistaki,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,2,379.51,361.75,Kentavros_02
Peroulak,C2,2,Kentavros,14/5/2023,Tarmac,Championship,3,381.22,361.75,Kentavros_02
Argiriou,C2,2,Kentavros,14/5/2023,Tarmac,Championship,4,385.34,361.75,Kentavros_02
Komnos N,C5 F2,2,Kentavros,14/5/2023,Tarmac,Championship,5,388.26,361.75,Kentavros_02
Moschos ,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,6,390.85,361.75,Kentavros_02
Karlioti,C5 F2,2,Kentavros,14/5/2023,Tarmac,Championship,7,391.52,361.75,Kentavros_02
Gerodimo,C2,2,Kentavros,14/5/2023,Tarmac,Championship,8,391.67,361.75,Kentavros_02
Mihos Di,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,9,392.03,361.75,Kentavros_02
Konstant,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,10,398.16,361.75,Kentavros_02
Stergiad,C5 F2,2,Kentavros,14/5/2023,Tarmac,Championship,11,400.05,361.75,Kentavros_02
Vatsos N,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,12,401.95,361.75,Kentavros_02
Korakas ,C2,2,Kentavros,14/5/2023,Tarmac,Championship,13,402.88,361.75,Kentavros_02
Vergozis,C5 F2,2,Kentavros,14/5/2023,Tarmac,Championship,14,405.02,361.75,Kentavros_02
Nomikos ,C1,2,Kentavros,14/5/2023,Tarmac,Championship,15,406.98,361.75,Kentavros_02
Perakis ,C4 F2,2,Kentavros,14/5/2023,Tarmac,Championship,16,409.54,361.75,Kentavros_02
Titakis ,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,17,410.88,361.75,Kentavros_02
Koutsodi,C6 F2,2,Kentavros,14/5/2023,Tarmac,Championship,18,413.1,361.75,Kentavros_02
Lakis A.,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,19,413.15,361.75,Kentavros_02
Tiros Ni,C6 F2,2,Kentavros,14/5/2023,Tarmac,Championship,20,416.22,361.75,Kentavros_02
Giannoul,C5 F2,2,Kentavros,14/5/2023,Tarmac,Championship,21,418.28,361.75,Kentavros_02
Avramidi,C6 F2,2,Kentavros,14/5/2023,Tarmac,Championship,22,419.6,361.75,Kentavros_02
Vastardi,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,23,420.68,361.75,Kentavros_02
Anagnost,C4 F2,2,Kentavros,14/5/2023,Tarmac,Championship,24,429.11,361.75,Kentavros_02
Skoulari,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,25,433.29,361.75,Kentavros_02
Massiala,C6 F2,2,Kentavros,14/5/2023,Tarmac,Championship,26,440.61,361.75,Kentavros_02
Xenokost,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,27,449.37,361.75,Kentavros_02
Manousko,C6 F2,2,Kentavros,14/5/2023,Tarmac,Championship,28,453.39,361.75,Kentavros_02
Figioris,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,29,458.18,361.75,Kentavros_02
Diamanti,C4 F2,2,Kentavros,14/5/2023,Tarmac,Championship,30,463.4,361.75,Kentavros_02
Baxevana,C6 F2,2,Kentavros,14/5/2023,Tarmac,Championship,31,484.92,361.75,Kentavros_02
Anastasi,C5 F2,2,Kentavros,14/5/2023,Tarmac,Championship,32,495.86,361.75,Kentavros_02
Kehagias,C5 F2,2,Kentavros,14/5/2023,Tarmac,Championship,33,503.03,361.75,Kentavros_02
Stamatak,C6 F2,2,Kentavros,14/5/2023,Tarmac,Championship,34,686.89,361.75,Kentavros_02
Michail ,C5 F2,2,Kentavros,14/5/2023,Tarmac,Championship,35,,361.75,Kentavros_02
Tsitsigi,C5 F2,2,Kentavros,14/5/2023,Tarmac,Championship,36,,361.75,Kentavros_02
Mossios ,C6 F2,2,Kentavros,14/5/2023,Tarmac,Championship,37,,361.75,Kentavros_02
Tsouloft,C1,3,Kentavros,14/5/2023,Tarmac,Championship,1,167.41,167.41,Kentavros_03
Ktistaki,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,2,175.43,167.41,Kentavros_03
Gerodimo,C2,3,Kentavros,14/5/2023,Tarmac,Championship,3,177.26,167.41,Kentavros_03
Argiriou,C2,3,Kentavros,14/5/2023,Tarmac,Championship,4,177.36,167.41,Kentavros_03
Mihos Di,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,5,178.24,167.41,Kentavros_03
Korakas ,C2,3,Kentavros,14/5/2023,Tarmac,Championship,6,178.86,167.41,Kentavros_03
Komnos N,C5 F2,3,Kentavros,14/5/2023,Tarmac,Championship,7,180.79,167.41,Kentavros_03
Karlioti,C5 F2,3,Kentavros,14/5/2023,Tarmac,Championship,8,182.36,167.41,Kentavros_03
Lakis A.,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,9,183.98,167.41,Kentavros_03
Peroulak,C2,3,Kentavros,14/5/2023,Tarmac,Championship,10,184.7,167.41,Kentavros_03
Titakis ,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,11,185.57,167.41,Kentavros_03
Stergiad,C5 F2,3,Kentavros,14/5/2023,Tarmac,Championship,12,185.9,167.41,Kentavros_03
Avramidi,C6 F2,3,Kentavros,14/5/2023,Tarmac,Championship,13,186.04,167.41,Kentavros_03
Skoulari,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,14,186.34,167.41,Kentavros_03
Konstant,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,15,186.59,167.41,Kentavros_03
Vatsos N,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,16,186.61,167.41,Kentavros_03
Nomikos ,C1,3,Kentavros,14/5/2023,Tarmac,Championship,17,186.74,167.41,Kentavros_03
Perakis ,C4 F2,3,Kentavros,14/5/2023,Tarmac,Championship,18,188.11,167.41,Kentavros_03
Koutsodi,C6 F2,3,Kentavros,14/5/2023,Tarmac,Championship,19,189.23,167.41,Kentavros_03
Vergozis,C5 F2,3,Kentavros,14/5/2023,Tarmac,Championship,20,189.98,167.41,Kentavros_03
Vastardi,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,21,192.87,167.41,Kentavros_03
Giannoul,C5 F2,3,Kentavros,14/5/2023,Tarmac,Championship,22,195.42,167.41,Kentavros_03
Anagnost,C4 F2,3,Kentavros,14/5/2023,Tarmac,Championship,23,196.25,167.41,Kentavros_03
Moschos ,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,24,201.44,167.41,Kentavros_03
Massiala,C6 F2,3,Kentavros,14/5/2023,Tarmac,Championship,25,202.48,167.41,Kentavros_03
Xenokost,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,26,204.53,167.41,Kentavros_03
Manousko,C6 F2,3,Kentavros,14/5/2023,Tarmac,Championship,27,209.25,167.41,Kentavros_03
Figioris,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,28,212.32,167.41,Kentavros_03
Baxevana,C6 F2,3,Kentavros,14/5/2023,Tarmac,Championship,29,217.08,167.41,Kentavros_03
Diamanti,C4 F2,3,Kentavros,14/5/2023,Tarmac,Championship,30,217.39,167.41,Kentavros_03
Anastasi,C5 F2,3,Kentavros,14/5/2023,Tarmac,Championship,31,222.49,167.41,Kentavros_03
Tiros Ni,C6 F2,3,Kentavros,14/5/2023,Tarmac,Championship,32,244.75,167.41,Kentavros_03
Stamatak,C6 F2,3,Kentavros,14/5/2023,Tarmac,Championship,33,337.11,167.41,Kentavros_03
Michail ,C5 F2,3,Kentavros,14/5/2023,Tarmac,Championship,34,,167.41,Kentavros_03
Tsitsigi,C5 F2,3,Kentavros,14/5/2023,Tarmac,Championship,35,,167.41,Kentavros_03
