,,Group_Pos,Group_Pos,Group_Pos,Group_Pos,Group_Pos,Group_Pos,Group_Pos,Group_Pos,Group_Pos,Group_Pos,Group_Pos,Group_Pos,Group_Pos,Group_Pos,Group_Pos
ss,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Crew,Group,,,,,,,,,,,,,,,
Al-Wahaibi  ,RC2,16,16,15,15,20,20,17,17,17,17,25,,,,
Amoutzas  G.,RC2,33,33,33,31,31,30,29,29,29,29,27,23,,,
Athanassoula,RC2,32,32,32,,,,,,,,,,,,
Blach  Rober,RC2,15,14,14,16,14,14,14,14,13,13,12,12,12,,
Borodin  Pet,RC3,9,9,8,9,7,7,6,6,5,5,5,4,4,,
Brazzoli  En,RC2,20,20,24,21,18,19,26,27,26,26,26,24,23,22,20
Bruun  Natan,RC3,19,19,16,14,11,10,9,8,8,8,6,10,9,8,7
Campagnoli  ,RC3,23,23,23,23,23,22,21,21,21,21,21,,,,
Caparó  José,RC3,16,16,15,15,13,13,12,11,12,12,9,7,6,5,5
Chatzimarkos,RC3,13,13,13,20,20,16,16,14,14,14,12,11,10,9,10
Cărăgui  Eug,RC2,21,21,23,23,29,29,28,28,27,27,28,25,25,24,22
Daprà  Rober,RC2,11,11,10,10,9,8,8,9,8,8,7,7,7,8,7
Delaportas  ,RC3,22,22,22,22,22,,,,,,,,,,
Dolofan  C. ,RC2,26,26,22,22,19,18,20,20,18,22,23,21,21,20,17
Dominguez  D,RC3,3,3,3,3,15,12,11,10,10,10,17,17,15,14,15
Evans  Elfyn,RC1,9,9,8,7,7,6,6,6,5,5,5,6,6,6,6
Fontana  Mat,RC3,8,8,7,5,4,4,4,4,3,3,2,2,2,1,1
Fourmaux  Ad,RC1,3,4,2,8,8,8,8,8,8,8,7,7,7,7,7
Georgakopoul,RC2,29,30,30,30,30,,,,,,,,,,
Gill  Taylor,RC3,4,4,4,4,3,6,5,5,4,4,14,15,12,11,11
Granados  Mi,RC2,17,17,18,19,16,15,15,15,15,15,13,13,13,12,11
Greensmith  ,RC2,7,5,3,3,3,17,,,,,,,,,
Gryazin  Nik,RC2,3,3,6,5,8,5,6,6,28,28,29,26,24,23,21
Halkias  E. ,RC3,15,15,14,13,12,14,13,13,13,13,10,8,8,7,8
Joona  Lauri,RC2,4,4,4,8,24,27,25,23,19,18,16,15,15,13,13
Jürgenson  R,RC3,5,5,2,1,1,2,1,1,1,1,3,3,3,3,3
Kajetanowicz,RC2,5,6,8,7,6,3,5,5,5,5,4,4,4,4,4
Kalamaras  T,RC4,3,3,3,3,3,3,2,1,1,1,2,2,2,2,2
Karanikolas ,RC3,10,10,9,10,8,9,8,7,7,7,11,16,16,15,14
Katsuta  T. ,RC1,4,2,9,9,9,9,9,9,9,9,9,8,8,8,8
Kehagias  G.,RC2,28,28,29,28,26,23,18,18,16,16,18,,,,
Kremer  Armi,RC2,14,15,13,14,12,10,10,11,11,11,11,11,11,11,10
Laskowski  H,RC3,14,14,12,11,9,8,7,16,18,18,18,18,17,16,16
Lefkaditis  ,RC4,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1
Linnamäe  Ge,RC2,6,8,16,12,10,9,9,8,7,7,5,5,5,6,19
Loubet  P. /,RC2,31,31,31,,,,,,,,,,,,
Maior  Norbe,RC3,2,2,1,2,2,1,2,2,2,2,1,1,1,2,2
Martinez  An,RC3,21,21,20,19,19,17,17,19,19,19,19,19,18,17,17
Martínez  Jo,RC2,25,25,26,27,25,26,24,24,23,21,20,20,20,19,
McErlean  Jo,RC2,10,10,9,9,7,7,7,7,6,6,8,8,8,7,6
Munster  G. ,RC1,7,7,6,5,5,5,5,5,6,7,8,,,,
Neuville  T.,RC1,6,6,5,4,4,3,2,2,1,1,1,1,1,1,1
Ogier  S. / ,RC1,1,3,1,1,2,4,3,3,3,3,3,3,2,2,5
Pajari  Sami,RC2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
Panteli  Pet,RC3,12,12,11,12,10,21,20,20,20,20,20,,,,
Papageorgiou,RC4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Parellis  D.,RC5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pavlidis  N.,RC2,23,23,20,29,27,25,23,22,21,20,19,17,17,16,15
Peralta  J. ,RC2,22,22,21,25,22,24,22,21,20,19,17,16,16,15,14
Plagos  Ioan,RC4,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3
Rensonnet  T,RC3,11,11,6,6,6,5,10,9,9,9,7,5,5,4,4
Rossel  Yoha,RC2,1,1,1,1,1,6,4,3,3,3,3,3,3,3,3
Roustemis  P,RC2,13,13,12,13,11,11,11,10,10,10,10,10,10,10,9
Schwarz  Fab,RC3,6,6,5,8,14,11,14,12,11,11,8,6,,,
Serderidis  ,RC1,8,8,7,6,6,7,7,7,7,6,6,5,5,5,4
Smart  Max /,RC3,7,7,18,18,16,15,15,15,15,15,13,12,11,10,9
Solans  Jan ,RC2,30,29,28,20,17,13,12,12,9,9,9,9,9,9,8
Sordo  Dani ,RC1,5,5,4,3,3,2,1,1,2,2,2,2,3,3,2
Soylu  Uğur ,RC2,18,18,19,18,13,16,16,16,14,14,14,14,14,14,12
Stefanis  Ma,RC3,17,17,19,17,18,19,18,17,16,16,15,13,13,12,12
Theocharopou,RC3,18,18,17,16,17,18,19,18,17,17,16,14,14,13,13
Tänak  Ott /,RC1,2,1,3,2,1,1,4,4,4,4,4,4,4,4,3
Türkkan  Ali,RC3,1,1,10,7,5,3,3,3,6,6,4,9,7,6,6
Vassilakis  ,RC2,24,24,27,26,23,22,21,26,25,24,21,19,19,18,16
Velanis  V. ,RC2,19,19,17,17,28,28,27,25,24,23,22,18,18,17,
Villanueva  ,RC2,12,12,11,11,15,12,13,13,12,12,15,,,,
Virves  Robe,RC2,9,9,5,4,4,1,1,1,2,2,2,2,2,2,2
Zaldivar  F.,RC2,8,7,7,6,5,4,3,4,4,4,6,6,6,5,5
Çetinkaya  B,RC2,27,27,25,24,21,21,19,19,22,25,24,22,22,21,18
Šekuljica  S,RC3,20,20,21,21,21,20,,,,,,,,,
