,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13
No,Crew,Gr/Cl,,,,,,,,,,,,,
#1,Paddon Hayden - Kennard John Hyundai i20 N Rally2,RC2,1:39.8,9:19.2,6:10.6,11:16.7 [N],8:50.4,6:09.6,11:13.9,4:57.8,17:46.0,7:49.6,4:56.8,17:30.3,8:02.0
#10,Franceschi M. - Escartefigue J. Škoda Fabia Rally2 evo,RC2,1:43.9,9:03.0,6:13.0,11:31.2,8:49.4,6:10.2,11:22.0,5:02.8,17:51.3,7:52.9,4:57.8,17:31.6,8:21.2
#11,Pardo Siota J. - Pérez Fernández A. Hyundai i20 N Rally2,RC2 1,1:44.2,9:08.9,6:14.0,11:25.8,8:54.9,6:12.3,11:20.5,5:00.2,20:10.0,-,-,-,-
#12,Suárez J. - Iglesias Pin A. Škoda Fabia RS Rally2,RC2 1,1:50.8,9:17.8,6:12.9,11:28.2,8:48.0,6:10.8,11:25.4,4:57.8,17:42.2,8:06.7,4:57.7,17:44.1,7:53.2
#14,Palomo Ortíz Ó. - del Barrio R. Hyundai i20 N Rally2,RC2 1,1:46.9,9:14.6,6:19.8,11:40.5,8:57.0,6:14.4,11:31.0,5:08.2,17:54.4,7:57.8,5:11.1,17:35.2,-
#15,Ruiloba Diego - Vela Ángel Luis Citroën C3 Rally2,RC2 1,1:45.7,9:20.0,6:13.5,11:28.6,8:54.1,6:08.9,11:21.1,5:01.8,18:21.3,7:57.9,5:10.4,-,-
#16,Campedelli Simone - Canton Tania Škoda Fabia Rally2 evo,RC2,1:41.8,9:31.1,6:12.3,11:25.1 [N],8:49.0,6:09.8,11:23.8,5:00.1,17:58.7,7:51.1,4:56.6,17:27.7,-
#17,Mareš Filip - Bucha Radovan Škoda Fabia Rally2 evo,RC2,1:41.0,9:28.8,6:14.7,11:30.9,8:53.0,6:12.9,11:23.9,5:03.4,17:49.8,8:03.8,4:58.7,17:38.4,7:52.5
#18,Wagner Simon - Winter Gerald Škoda Fabia RS Rally2,RC2,1:40.5,9:20.0,6:17.9,11:32.7 [N],8:52.6,6:12.9,11:30.2,4:59.2,17:50.9,7:54.8,4:57.2,17:22.1,7:47.8
#19,Suárez M. - González Delgado E. Citroën C3 Rally2,RC2 1,1:46.0,9:22.3,6:13.8,11:24.2,8:56.3,6:14.1,11:27.5,5:03.3,18:20.7,7:58.0,5:02.8,17:48.3,8:06.3
#2,Østberg Mads - Barth Patrik Citroën C3 Rally2,RC2,1:41.5,9:00.2,6:43.7,12:25.8,8:50.0,6:14.3,11:27.3,5:01.6,17:37.9,7:50.8,5:13.9,17:25.1,8:10.6 [N]
#20,Černý Jan - Černohorský Petr Hyundai i20 N Rally2,RC2 C1,1:42.6,9:12.1,6:15.5,11:30.1,8:56.9,6:14.4,11:27.6,5:02.9,18:06.3,7:55.8,5:00.6,17:50.2,8:22.1
#21,Cruz Enrique - Mújica Eugenio Y. Ford Fiesta Rally2,RC2 1,1:49.2,9:04.2,6:14.6,11:26.5,12:39.3,8:53.4,-,-,-,-,-,-,-
#21,Cruz Enrique - Mújica Eugenio Y. Ford Fiesta Rally2  [SR],RC2 1,-,-,-,-,-,-,21:13.9 [N],-,-,-,-,-,-
#22,Grzyb Grzegorz - Wróbel Jakub Škoda Fabia Rally2 evo,RC2,1:41.2,9:22.9,6:14.8,11:32.0,8:54.1,6:12.0,11:24.4,5:01.1,17:49.6,7:59.1,4:58.1,17:49.5,7:49.9
#23,László Martin - Berendi Dávid Škoda Fabia Rally2 evo,RC2,1:41.4,9:15.9,6:18.7,11:37.1,9:00.0,6:16.1,11:33.2,5:04.2,17:48.5,7:57.1,5:08.5,17:33.9,8:24.5
#24,Nucita Andrea - Pollet Rudy Hyundai i20 N Rally2,RC2,1:40.2,9:01.5,6:14.5,11:29.6,8:53.6,6:12.8,11:24.3,5:03.0,17:54.0,7:54.5,4:59.0,17:44.3,7:49.4
#25,Kołtun Jarosław - Pleskot I. Ford Fiesta Rally2,RC2,1:47.4,9:19.8,6:23.9,11:50.6,9:11.1,6:25.5,-,5:18.8,18:32.6,8:12.8,5:18.9,18:06.8,8:28.4
#25,Kołtun Jarosław - Pleskot I. Ford Fiesta Rally2  [SR],RC2,-,-,-,-,-,-,21:13.9 [N],-,-,-,-,-,-
#26,Cuzma Bogdan - Minor Ilka Škoda Fabia Rally2 evo,RC2,2:09.4,9:45.0,6:45.4,12:36.9,9:34.4,6:41.2,12:23.6,5:57.5,18:55.3,8:33.7,5:29.8,18:45.7,8:32.5
#27,Allen Philip - Mullen Darragh Hyundai i20 N Rally2  [SR],RC2,11:39.8 [N],-,-,-,-,-,-,-,-,-,-,-,-
#28,Somaschini Rachele - Arena Nicola Citroën C3 Rally2,RC2,1:52.1,9:48.2,6:36.0,12:19.6,9:31.9,6:36.9,12:15.0,5:42.6,18:36.9,8:29.4,5:24.3,18:30.4,8:36.5
#29,Bertolotti Simone - Capilli F. Citroën C3 Rally2,RC2,-,-,-,-,-,-,-,5:58.8,18:59.2,8:22.4,5:21.2,19:06.4,9:01.1
#29,Bertolotti Simone - Capilli F. Citroën C3 Rally2  [SR],RC2,11:39.8 [N],9:45.7,6:37.6,12:12.8,9:42.5,6:36.8,12:15.8,-,-,-,-,-,-
#3,Llarena Efrén - Fernández Sara Škoda Fabia RS Rally2,RC2 1,1:42.8,8:58.0,6:11.0,11:28.3,8:49.4,6:11.0,11:22.9,5:01.4,17:49.8,7:53.2,4:58.4,17:25.2,7:57.0
#30,Armstrong Jon - Fair Cameron Ford Fiesta Rally3,RC3,1:48.5,9:24.4,6:35.4,11:56.1,9:16.6,6:30.2,11:54.0,5:14.6,18:17.3,8:07.2,5:17.5,18:04.8,8:03.9
#31,Daprà Roberto - Guglielmetti Luca Peugeot 208 Rally4,RC4,1:51.1,9:39.4,6:39.9,12:14.1,9:27.1,6:32.6,12:15.1,5:22.4,-,-,-,-,-
#32,Kreuter Norman - Kvick Andersson J. Peugeot 208 Rally4,RC4,1:58.4,10:20.3,7:01.7,13:01.0,10:48.0,7:03.0,13:02.1,6:33.1,21:55.6,8:51.7,5:46.9,20:25.6,9:22.8
#33,Hangodi Bendegúz - Bunkoczi L. Peugeot 208 Rally4,RC4,2:03.2,10:04.1,6:50.9,12:47.0,9:50.1,6:45.7,12:30.9,6:01.6,19:43.4,8:47.8,5:30.4,19:46.6,8:49.7
#34,Grillo Alessandro - Bracchi Enrico Renault Clio R3,RC4,1:57.7,10:28.4,7:16.5,13:16.7,10:24.5,7:18.1,13:20.5,6:19.1,21:58.4,9:08.3,6:04.1,21:22.5,9:37.5
#35,Ares Iván - Pintor Bouzas J. Hyundai i20 N Rally2,RC2 1,1:43.0,9:15.8,6:11.6,11:24.6,8:54.1,6:09.6,11:22.0,5:01.2,17:51.5,7:50.5,4:57.2,17:24.3,8:08.0
#36,Solans Jan - Sanjuan de Eusebio R. Hyundai i20 N Rally2,RC2 1,1:41.3,8:55.7,6:40.2,11:25.6,8:50.3,6:10.6,11:18.5,5:00.4,17:40.7,7:53.4,4:58.0,17:18.8,8:10.6
#37,Peláez José Luis - Chamorro A. Hyundai i20 N Rally2,RC2 1,1:51.2,9:36.2,6:30.2,11:57.2,9:10.3,6:21.7,11:45.6,5:19.1,18:23.0,8:08.0,5:27.3,17:56.4,8:55.8 [N]
#38,Comas Gracia M. - Romero García L. Škoda Fabia R5,RC2 1,1:52.3,9:39.5,6:45.7,12:25.9,9:41.8,6:47.1,12:29.8,6:09.3,18:57.5,8:27.6,5:29.5,19:02.1,8:34.6
#39,Pernía S. - Sánchez González A. Hyundai i20 N Rally2,RC2 1,1:41.1,9:41.2,-,-,-,-,-,-,-,-,-,-,-
#39,Pernía S. - Sánchez González A. Hyundai i20 N Rally2  [SR],RC2 1,-,-,16:06.0 [N],21:13.7 [N],18:46.4 [N],16:07.9,21:19.9 [N],-,-,-,-,-,-
#4,Kristensson Tom - Johansson Andreas Citroën C3 Rally2,RC2,1:41.7,9:29.0,6:18.9,11:32.3,8:54.4,6:15.7,11:28.6,5:03.2,17:47.0,7:51.8,5:04.5,17:33.4,7:55.9
#40,López Pacheco F. - Odriozola B. Hyundai i20 N Rally2,RC2 1,1:50.9,9:27.8,6:33.9,12:10.7,9:21.1,6:28.9,12:03.4,5:29.8,18:41.1,8:23.8,5:33.1,18:35.8,8:36.0
#41,Fuentes Matías Sergio - Bonilla A. Citroën C3 Rally2,RC2 1,1:47.6,9:16.8,6:28.5,11:59.1,9:06.3,6:22.9,11:44.7,5:10.1,18:09.8,8:06.7,5:21.0,18:03.8,8:26.5 [N]
#42,Quesada Raúl - Domínguez Pedro J. Hyundai i20 R5,RC2 1,1:56.0,9:16.3,6:21.8,11:44.6,9:05.8,6:19.1,11:44.0,5:12.9,18:07.4,8:04.7,5:07.2,17:47.2,8:22.5
#43,Fariña García G. - Rivero D. Peugeot 208 Rally4,RC4 2,1:54.3,9:37.3,6:35.6,12:11.8,9:25.9,6:31.6,12:06.5,5:24.5,18:46.7,8:19.6,5:28.7,18:41.9,8:30.0
#44,Cañada Tribaldo J. - Hernández Ávila J. Opel Corsa Rally4,RC4 2,1:55.4,9:36.2,6:38.8,12:13.3,9:29.5,6:33.9,12:09.4,5:23.8,18:53.7,8:24.4,5:27.4,18:49.9,8:37.6
#45,de La Cruz J. - Cedrés Cruz J. Peugeot 208 Rally4,RC4 2,2:00.8,9:44.3,6:46.3,12:26.3,9:38.3,6:40.8,12:26.7,6:10.9,19:15.8,8:30.4,5:27.9,19:05.8,10:30.8
#46,Climent N. - González Méndez D. Peugeot 208 Rally4,RC4 2,1:57.6,9:40.9,6:39.6,12:25.1,9:35.1,6:38.9,12:22.6,6:00.8,18:51.3,8:32.9,5:26.2,18:46.0,8:33.1
#47,Cruz Ramos F. - Hernández Regalado T. Peugeot 208 Rally4,RC4 2,2:00.9,9:38.9,6:37.0,12:15.0,9:33.3,6:36.2,12:08.3,5:20.7,19:21.4,8:29.0,5:27.0,19:01.5,8:34.3
#48,Machín González A. - Díaz Negrín J. Peugeot 208 Rally4,RC4 2,1:58.2,9:43.2,6:43.1,12:22.3,9:34.8,6:39.8,12:19.0,6:14.0,18:56.5,8:29.2,5:26.3,18:51.1,8:28.4
#49,Hernández Nieves R. - Hernández García L. Peugeot 208 Rally4,RC4 2,2:08.1,9:56.0,7:03.4,12:49.9,10:01.2,6:59.7,12:56.9,6:06.1,20:11.9,8:51.7,5:34.5,20:11.8,9:07.4
#5,Mabellini Andrea - Lenzi Virginia Škoda Fabia Rally2 evo,RC2,1:42.5,9:18.1,6:15.1,11:29.7,8:50.5,6:12.1,11:25.2,5:03.1,18:23.4,7:52.9,4:55.7,17:38.2,7:46.7
#50,Hernández Padrón M. - Bethencourt D. Renault Clio Rally5,RC5 3,2:02.4,10:08.1,6:57.5,12:36.3,10:03.2,6:54.6,12:32.9,6:08.9,19:56.4,8:47.0,5:38.8,19:57.8,8:47.2
#51,Armas Noé - Falcón Caballero A. Renault Clio Rally5,RC5 3,2:08.6,10:07.9,6:56.4,12:35.1,9:58.4,6:52.5,12:29.2,6:09.9,19:55.3,8:46.5,5:39.2,19:49.8,8:50.2
#52,Alonso Salazar J. - Tejera Caballero S. Renault Clio Rally5,RC5 3,2:06.0,10:58.0,7:20.0,13:28.5,10:33.2,7:18.0,13:26.0,6:35.3,23:44.0,9:19.4,5:59.4,21:26.1,9:21.2
#53,Avella B. - Santiago Velázquez L. Renault Clio Rally5,RC5 3,1:59.9,10:15.5,26:24.9,-,-,-,-,6:05.5,21:59.4,8:40.8,-,-,-
#53,Avella B. - Santiago Velázquez L. Renault Clio Rally5  [SR],RC5 3,-,-,-,22:35.1 [N],19:58.4 [N],16:52.5 [N],22:29.2 [N],-,-,-,-,-,-
#54,Rodríguez Henríquez G. - Reyes Sánchez R. Renault Clio Rally5,RC5 3,2:02.5,21:54.7,7:09.9,13:23.0,10:10.6,7:05.1,-,-,-,-,-,-,-
#54,Rodríguez Henríquez G. - Reyes Sánchez R. Renault Clio Rally5  [SR],RC5 3,-,-,-,-,-,-,22:29.2 [N],-,-,-,-,-,-
#55,Hernández Z. - Hernández Alonso M. Renault Clio Rally5,RC5 3,1:55.5,10:29.2,7:15.0,13:26.9,10:16.0,7:10.0,13:21.0 [N],6:12.1,21:18.8,9:03.6,5:43.1,19:57.6,9:11.4
#56,Valido Castellano V. - Hernández Rivero O. Renault Clio Rally5,RC5 3,2:14.9,10:08.6,7:11.4,12:57.9,10:00.9,7:04.6,12:52.0 [N],6:17.2,20:51.3,8:52.4,5:38.6,20:03.1,8:39.9
#57,Cabrera Ravelo I. - Cabrera Ravelo N. Renault Clio Rally5,RC5 3,2:08.6,10:29.8,7:10.7,13:17.2,10:18.2,7:05.8,13:11.3 [N],6:28.3,21:26.6,8:57.3,5:39.5,20:14.2,9:08.9
#58,Mederos Gutiérrez H. - Fumero González R. Renault Clio Rally5,RC5 3,2:02.9,10:16.9,7:07.0,13:03.2,10:07.4,7:04.0,12:55.3 [N],6:19.3,20:51.3,8:52.1,5:39.4,19:59.9,8:50.2
#59,Avella Santana U. - Espino Guedes J. Renault Clio Rally5,RC5 3,2:05.6,10:24.4,7:06.1,13:04.9,-,-,-,6:12.3,22:22.8,9:10.9,5:43.0,20:43.8,9:28.4
#59,Avella Santana U. - Espino Guedes J. Renault Clio Rally5  [SR],RC5 3,-,-,-,-,19:58.4 [N],16:52.5 [N],22:29.2 [N],-,-,-,-,-,-
#6,Bonato Yoann - Boulloud Benjamin Citroën C3 Rally2,RC2,1:42.3,9:18.8,6:06.0,11:13.7,8:46.4,6:07.9,11:14.1,4:56.0,17:26.6,7:47.5,4:56.0,17:22.5,7:58.0
#60,Concepción Feliciano A. - Monzón Cruz J. Renault Clio Rally5,RC5 3,2:06.1,10:36.4,7:19.1,13:21.3,10:20.3,7:12.5,13:15.4 [N],6:20.4,22:12.0,9:02.4,5:48.3,20:41.2,9:24.9
#61,Naranjo M. - González Ramírez J. Peugeot 208 Rally4,RC4 2,2:24.1,11:36.0,7:22.5,13:50.2,13:54.9,8:35.4,15:37.7,7:31.4,25:45.3,9:38.4,6:35.1,22:41.0,10:41.6
#62,Bello Rodríguez J. - González Meneses C. Peugeot 208 Rally4,RC4 2,2:01.6,9:59.7,6:56.1,12:56.5,9:54.1,6:55.1,12:43.9,6:05.7,20:03.2,8:48.6,5:37.5,19:54.2,8:55.4
#63,Martínez Cazorla J. - Viera Rey P. Porsche 997 GT3 Cup 3.8,C1,1:56.3,9:23.4,27:24.7,13:28.9,9:21.0,6:34.5,13:22.9,5:22.4,20:54.9,8:19.5,5:15.7,19:33.3,-
#65,Sirvent C. - Sirvent Martinez A. Peugeot 208 1.2 Pure Tech,3,2:11.6,11:41.8,8:04.6,14:35.9,11:32.8,7:56.8,-,-,-,-,-,-,-
#65,Sirvent C. - Sirvent Martinez A. Peugeot 208 1.2 Pure Tech  [SR],3,-,-,-,-,-,-,22:09.4 [N],-,-,-,-,-,-
#66,Ponce José María - Larrodé C. Toyota GR Yaris RZ,2 C2,2:09.2,-,-,-,-,-,-,-,-,-,-,-,-
#67,Estalella A. - Peña Quintana A. Toyota GR Yaris RZ,2 C2,2:03.1,10:02.9,7:05.3,12:47.4,9:57.5,6:54.2,12:41.4,6:06.2,21:55.8,8:45.8,5:39.3,19:47.4,9:12.9
#68,Hernández Guerra D. - González Dávila S. Honda Civic Type-R FN2,2 C2,2:07.9,10:28.8,7:18.7,13:38.2,10:22.4,7:13.0,13:32.2,6:03.8,23:20.2,9:01.5,5:41.4,-,-
#69,Alcalde Albizu I. - Rodríguez Menéndez J. Volkswagen Polo MK6 N5,1,2:15.1,10:36.8,7:22.6,13:12.7,10:29.8,7:19.4,13:06.7,6:00.0,23:57.4,9:02.6,5:48.7,21:42.7,9:15.1
#7,Heikkilä Mikko - Vaaleri Samu Škoda Fabia Rally2 evo,RC2,1:43.9,9:20.8,6:18.4,11:35.2,8:56.7,6:16.7,11:26.5,5:02.6,18:07.9,7:54.6,5:08.2,17:48.6,8:43.8
#70,Quintino M. - García González C. BMW M3 E30,C2 PRE 90,2:16.1,10:22.8,7:25.7,13:35.3,10:15.8,7:12.0,13:29.3,-,-,-,-,-,-
#71,Afonso Martel A. - Miranda Medina J. Mitsubishi Lancer Evo IX,C1,2:03.9,11:19.4,16:13.8,-,-,-,-,5:50.3,21:36.4,8:53.4,5:59.3,-,-
#71,Afonso Martel A. - Miranda Medina J. Mitsubishi Lancer Evo IX  [SR],C1,-,-,-,21:24.2 [N],18:56.3 [N],16:14.1 [N],21:27.5 [N],-,-,-,-,-,-
#72,Afonso Hernández A. - García Afonso V. Mitsubishi Lancer Evo IX,C1,2:24.2,10:22.8,7:07.1,13:21.3,10:16.0,7:17.4,13:15.3,6:10.5,22:53.7,-,-,-,-
#73,Schewe Heinz-Walter - Rauber Tim Porsche 997 GT3 RS 3.6,C1,2:10.3,10:44.4,7:26.4,13:44.1,10:37.9,7:25.6,13:38.1,6:22.3,23:02.4,8:59.0,5:43.4,20:38.2,9:30.5
#74,Santana M. - Benítez Galván P. Nissan Micra K14 0.9 IG-T,3 C3,2:24.5,11:50.9,7:57.0,14:34.4,11:41.9,7:49.4,14:28.4,7:32.4,27:03.8,-,-,-,-
#75,Ramos Molina Y. - Díaz Perdomo J. Opel Adam S,3 C3,2:06.1,11:53.8,8:14.3,14:32.7,11:45.8,8:04.9,14:26.7,6:33.1,24:28.8,9:45.2,6:20.3,22:47.8,10:15.8
#76,Robledano Javier - Robledano G. Opel Adam S,3 C3,2:22.0,11:17.5,7:53.9,14:12.9,11:08.5,7:45.5,14:06.9,6:36.6,23:47.8,9:37.7,6:17.2,21:56.3,10:36.4
#78,Real Verano J. - Chinea García Z. Nissan Micra 1.6 SR,C3,2:15.3,11:25.4,7:49.8,14:20.4,11:23.6,7:48.7,14:14.4,6:19.7,23:32.2,9:35.6,6:12.2,22:56.5,10:52.3
#79,Hernández Martín A. - Garcés Díaz J. Nissan Micra 1.6 SR,C3,2:20.6,11:25.4,7:53.3,14:37.8,11:18.4,7:43.3,14:31.8,6:20.3,23:47.6,9:49.5,6:15.2,22:19.7,10:19.8
#8,Csomós Miklós - Nagy Attila Škoda Fabia Rally2 evo,RC2,1:43.0,9:24.8,6:13.2,-,-,-,-,-,-,-,-,-,-
#80,Fernández Rodríguez E. - González Pérez M. BMW 325i E30,C1,2:27.5,11:05.7,7:44.4,13:58.3,10:55.7,7:44.3,13:52.3,6:46.2,-,-,-,-,-
#81,Acosta Hernández A. - Sánchez Delgado R. Volkswagen Golf II GTi 16V,C2 PRE 90,2:24.2,10:46.5,7:32.9,13:40.2,10:37.5,7:32.3,13:34.2,6:29.0,25:50.0,9:46.3,6:13.9,26:28.2,14:29.0
#82,González Tomás - Santana Mayor S. Mitsubishi Lancer GL 1400 MK1,C2 PRE 81,2:31.9,11:38.7,8:34.3,15:06.8,11:38.7,8:14.0,15:00.8,6:54.9,26:04.6,10:05.8,6:42.3,24:03.5,10:41.6
#83,Martínez del Río J. - Puga Hernández M. Fiat Seicento Sporting,C3,2:09.3,11:57.3,8:15.7,14:43.8,11:57.3,8:07.9,14:37.8,6:35.5,24:15.6,10:05.8,6:23.3,22:54.0,10:11.5
#9,Sesks Mārtiņš - Francis Renārs Škoda Fabia RS Rally2,RC2,1:42.6,9:09.1,6:18.3,11:33.7,8:54.2,6:16.8,11:29.3,5:02.0,17:47.3,7:55.5,4:59.7,17:30.8,7:50.3
