,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7
No,Crew,Gr/Cl,,,,,,,
#1,Lovisetto Adriano  - Gasparotto I. CitroÃ«n C3 Rally2,R5/Rally2,8:34.1,5:02.8,4:24.8,-,-,-,-
#10,Battaglin A.  - Pagliarini S. Hyundai i20 R5,R5/Rally2,8:24.5,4:54.7,4:17.4,8:13.2,4:53.7,4:15.5,8:24.7
#100,PellÃ¨ Roberto  - Righetti Mattia Renault Clio Rally5,Rally5,9:22.7,5:38.9,4:52.7,9:15.7,5:34.4,4:49.4,9:23.7
#101,Busin Matteo  - Casa Federico Suzuki Swift 1000 turbo,RSTB 1.0 Plus,10:56.9,6:30.3,7:25.9,11:25.0,6:58.1,6:06.2,12:12.5
#102,BaÃ¹ Remigio  - Cerato Silvano Peugeot 208 GTI,RSTB 1.6 Plus,10:50.5,6:10.4,5:30.0,10:44.5,6:17.7,5:47.5,11:43.3
#103,Crescenzo Michele  - Savegnago M. Peugeot 106 Maxi,K10,10:33.0,5:47.8,5:12.5,10:12.4,5:48.6,5:12.1,10:33.7
#105,Pontalto Michele  - Durat Jessica Peugeot 106,A6,9:52.8,5:44.2,4:57.9,9:38.0,5:54.2,-,-
#106,Zanon Andrea  - Filippozzi Lisa Peugeot 106 Rallye,A6,9:15.6,5:32.5,4:46.8,9:05.4,5:39.2,-,-
#107,Ghion Mattia  - Lorenzin Vanessa Peugeot 106 Rallye,A6,9:08.9,5:24.4,4:42.2,9:01.5,5:33.1,4:50.8,9:34.8
#108,Nonnato Filippo  - Mogentale C. Peugeot 106 Rallye,A6,9:20.2,5:37.0,4:46.2,-,-,-,-
#109,Cecchin Maicol  - Fiorot Andrea Peugeot 106 16V,A6 Under 25,10:04.7,5:54.5,5:07.9,9:48.7,5:59.4,5:28.8,11:42.6
#11,Toffano Giovanni  - Gambasin M. Å koda Fabia Rally2 evo,R5/Rally2,8:26.7,4:57.0,4:15.5,8:18.5,4:58.5,4:12.5,8:34.3
#110,Alessio Michele Luca  - Menegon M. Peugeot 106 S16,A6,10:06.1,5:51.3,5:00.7,9:47.8,6:01.2,5:16.4,-
#111,Sbalchiero R.  - Santacaterina M. Renault Clio III RS,RS 2.0,10:44.3,6:13.4,5:28.9,10:40.7,6:20.6,5:40.4,11:15.1
#112,Scalzotto Marco  - Tiraboschi S. Suzuki Swift R1B,RS 1.6 Plus Under 25,10:40.7,6:28.6,5:30.0,10:18.8,6:25.0,5:32.4,10:33.9
#113,Lavarini Manuel  - Zanoni Gabriele Peugeot 205 Rallye,A5,9:47.0,5:57.7,5:11.6,9:51.3,6:03.2,5:24.8,10:22.4
#114,Pilat Roberto  - Refondini Sara Peugeot 205 Rallye,A5,10:10.2,6:05.9,5:16.8,9:57.2,6:10.1,5:26.5,10:38.2
#116,Rancan Marco  - Rancan Tigei Peugeot 106 XSi,A5,10:18.8,6:17.9,5:21.5,10:11.8,6:20.5,5:34.0,11:02.3
#117,Cazzaro Federico  - Gorza Roberto Peugeot 106 XSi,A5,10:53.4,6:26.4,-,-,-,-,-
#119,Tessari Sascha  - Panato T. CitroÃ«n Saxo VTS,N2 Under 25,9:21.2,5:43.4,4:45.6,9:23.5,5:45.3,5:01.0,9:36.0
#120,De Barba Matteo  - Piceno Denis Peugeot 106 Rallye,N2,9:35.9,5:44.6,4:53.9,9:24.6,5:47.4,4:55.5,9:31.5
#121,Scapin Gaetano  - Tinazzo Mirko Peugeot 106 Rallye,N2,9:37.7,5:48.5,4:55.6,9:50.8,6:04.3,5:10.0,10:12.6
#122,Spiller Federico  - Ambrosini Luca Peugeot 106 Rallye,N2,9:38.1,5:38.9,4:52.5,9:27.1,-,-,-
#123,Zambon Giacomo  - Corato Stefano Peugeot 106 Rallye,N2,10:03.6,8:28.4,-,-,-,-,-
#124,Cella Gianluca  - Saccavini Paolo Peugeot 106 Rallye,N2,9:46.7,5:53.5,5:02.4,9:42.6,6:13.9,5:13.7,10:27.6
#125,Simonetto Luca  - Cortiana Kay Peugeot 106 Rallye,N2,9:59.2,5:54.4,5:02.3,9:48.0,6:12.2,5:20.3,10:20.8
#126,De Marco Edoardo  - Argenta Nicola Peugeot 106 Rallye,N2,9:27.0,5:44.4,5:02.1,9:19.6,5:57.7,4:54.0,9:29.6
#127,Brazzale Dino  - Zuliani Denis Peugeot 106 Rallye,N2,9:53.1,6:10.6,5:27.8,10:01.1,6:19.2,5:30.5,10:53.8
#128,Pipan Martin  - Sica Elena CitroÃ«n Saxo VTS,N2,10:15.0,6:11.7,5:16.6,10:08.2,6:23.8,5:25.8,10:30.2
#129,Mattiazzo Mirco  - Comarella M. Peugeot 106 Rallye,N2,10:46.3,6:45.0,5:49.9,9:52.5,6:18.9,5:18.4,10:17.2
#130,Sartori A.  - Facchinetti M. Peugeot 106 Rallye,N2,10:55.3,-,-,-,-,-,-
#131,Cogo Simone  - Erriu Daniele Peugeot 106 Rallye S2,N2,11:17.2,6:30.4,5:37.1,11:10.4,6:53.9,5:54.3,11:50.2
#133,Graziani Mirco  - Beltramello S. CitroÃ«n Saxo VTS,RS 1.6,10:32.1,6:14.8,5:24.4,10:15.4,6:28.4,5:46.6,11:04.0
#134,Spinnato Salvatore  - Spinnato A. CitroÃ«n Saxo VTS,RS 1.6,9:59.7,6:01.1,5:15.2,10:04.8,6:21.2,5:41.4,10:52.6
#135,Daveri Marcello  - Lo Presti G. Peugeot 106 Rallye,RS 1.6,10:46.9,6:34.2,5:39.3,10:23.7,6:48.4,5:59.0,11:12.0
#136,Boni Nicola  - Pavan Andrea Peugeot 106 Rallye,N1,10:02.7,6:04.9,5:12.3,9:55.8,6:08.0,5:14.0,10:07.9
#137,Avesani Mirco  - Facchini Michele Peugeot 106 Rallye,N1 Under 25,10:00.6,6:12.3,5:10.1,9:48.8,6:11.3,5:11.1,9:48.1
#14,Romagna Simone  - Addondi Luca Å koda Fabia Rally2 evo,R5/Rally2,8:32.2,5:02.3,4:24.7,8:24.3,5:00.4,4:20.6,8:34.7
#15,Brunello NicolÃ²  - Dal Maso A. Å koda Fabia R5,R5/Rally2,8:26.8,4:59.0,4:22.5,8:38.8,5:10.0,4:23.2,13:55.6
#16,Scalzotto Andrea  - Rutigliano N. CitroÃ«n C3 Rally2,R5/Rally2,8:30.5,5:02.0,4:22.9,8:19.1,5:00.4,4:18.3,8:28.5
#18,Furci Alessandro  - Cargnelutti P. Å koda Fabia Rally2 evo,R5/Rally2,8:42.2,5:04.7,4:26.7,9:21.2,5:05.8,4:27.9,8:37.3
#19,Zanotto Williams  - Buccino C. Å koda Fabia R5,R5/Rally2,8:33.7,4:59.4,4:27.7,8:24.4,5:00.3,4:20.1,8:40.1
#2,Andriolo Rudy  - Menegon Manuel Å koda Fabia Rally2 evo,R5/Rally2,8:15.1,4:54.3,4:17.9,8:07.1,4:51.5,4:11.5,8:07.2
#20,Ongaro Germano  - Maggiolino F. Å koda Fabia R5,R5/Rally2,9:27.5,5:28.7,4:40.8,9:03.7,5:24.1,4:39.2,9:48.0
#21,Turatello Francesco  - Mometti R. Å koda Fabia Rally2 evo,R5/Rally2,9:29.5,5:11.5,4:34.4,8:36.8,5:07.6,4:32.7,9:12.6
#22,Sambugaro Michele  - Cattelan D. Å koda Fabia R5,R5/Rally2,9:36.7,5:32.2,4:26.3,8:35.7,5:12.2,4:20.8,8:58.2
#23,Soppa Ezio  - Pozzi Daniel Å koda Fabia Rally2 evo,R5/Rally2,8:43.9,5:07.9,4:31.9,8:35.0,5:04.0,4:26.5,8:52.9
#24,Gheno Tobia  - Oriella Paolo Å koda Fabia Rally2 evo,R5/Rally2,8:42.8,5:40.1,4:36.1,8:39.8,5:11.1,4:29.3,8:50.7
#26,Nicoletti A.  - Zanrosso L. Å koda Fabia Rally2 evo,R5/Rally2,8:41.4,5:02.6,4:29.1,8:29.4,4:58.2,4:24.1,8:53.3
#27,Ferri Luca  - Ometto Pietro Elia Å koda Fabia Rally2 evo,R5/Rally2,8:37.2,5:02.4,4:23.1,8:24.0,4:59.2,4:22.7,8:36.2
#28,Marti William  - Cecchi A. Hyundai i20 N Rally2,R5/Rally2,9:09.2,5:26.0,4:40.7,9:02.9,5:25.4,4:38.7,9:23.0
#29,Nodari Paolo  - Nodari Giulio Å koda Fabia R5,R5/Rally2,8:31.0,5:01.3,4:22.2,8:23.5,4:59.4,4:14.9,8:52.1
#3,Rossetti Luca  - Mori Eleonora Hyundai i20 N Rally2,R5/Rally2,8:16.3,4:51.7,4:15.7,8:06.2,4:49.2,4:08.1,8:07.8
#31,Dedo  - Barbaro Giovanni Renault Clio N5,N5,8:52.2,5:10.0,4:32.8,8:41.2,5:14.1,4:32.3,8:54.5
#32,Panato Tiziano  - ZandonÃ Michele Peugeot 207 S2000,S2000,10:00.6,5:37.3,4:56.5,9:16.2,5:29.0,4:48.6,9:33.7
#33,Olivo Paolo  - Corso Chiara Mitsubishi Lancer Evo IX,N4,9:30.7,5:36.1,5:00.9,9:19.0,5:39.1,5:03.5,10:08.2
#34,Milani Michele  - Camazzola C. Mitsubishi Lancer Evo VII,N4,13:36.6,5:41.6,4:52.8,9:32.4,5:39.2,4:49.3,9:40.2
#35,Bulfon Rudy  - Spangaro Thomas Renault Clio S1600,S1600,9:21.5,5:28.0,4:46.6,9:04.1,5:28.6,4:45.0,-
#36,Molo Enrico  - Garbo Vanessa Renault Clio S1600,S1600,8:39.9,5:14.0,4:30.3,8:50.5,5:13.0,4:30.4,8:32.7
#37,Rocca Gabriele  - Miari Davide Renault Clio S1600,S1600,9:21.7,5:28.7,4:45.5,8:57.1,5:25.7,4:38.1,9:06.6
#38,Sentinelli S.  - Andriollo D. Renault Clio S1600,S1600,9:02.7,5:19.7,4:36.4,8:50.0,5:17.2,4:35.0,9:22.8
#39,Dal Zotto Andrea  - Brunaporto G. Ford Fiesta Rally3,Rally3,8:53.9,-,-,-,-,-,-
#41,Stevanato Elia  - De Lazzari E. Ford Fiesta Rally4,Rally4,9:27.0,5:50.4,-,-,-,-,-
#42,Pellizzaro Marco  - Melotti Marco Peugeot 208 R2,Rally4,9:32.8,5:41.3,4:57.7,9:21.5,5:46.3,4:54.6,9:43.5
#43,Carraro Mirko  - Lazzarotto Fabio Peugeot 208 R2,Rally4,9:04.8,5:33.6,4:41.0,8:59.8,5:31.6,4:44.9,9:38.1
#44,Pagnan Alex  - Mondin Livio Peugeot 208 Rally4,Rally4,9:07.4,5:41.0,4:53.6,9:07.5,5:38.9,4:48.0,9:47.3
#45,Cazzaro Nicola  - Raccuia Sergio Peugeot 208 Rally4,Rally4,8:48.9,5:15.7,4:29.7,8:42.2,5:17.9,4:28.5,8:59.7
#47,Irlacher Wolfgang  - Retzer Lisa Peugeot 208 Rally4,Rally4,9:21.6,5:32.8,4:50.3,9:09.5,5:29.0,4:40.3,9:22.0
#48,Brunello Stefano  - Corradini G. Peugeot 208 R2,Rally4,9:23.1,5:44.7,4:48.4,9:13.0,5:45.1,4:51.0,-
#49,Villardi Luca  - Guglielmi Michael Peugeot 208 Rally4,Rally4,8:55.3,5:19.0,4:32.2,8:49.2,5:18.1,4:28.7,8:59.0
#5,Avbelj BoÅ¡tjan  - Andrejka D. Å koda Fabia Rally2 evo,R5/Rally2,8:06.8,-,-,-,-,-,-
#50,Scalco Leonardo  - Toffano Mattia Peugeot 208 R2,Rally4,9:14.6,5:29.2,4:46.8,9:08.4,5:30.6,4:40.7,9:25.3
#51,Vanzetto Filippo  - Simioni G. Peugeot 208 Rally4,Rally4,9:22.8,5:37.5,4:44.3,9:09.5,5:42.6,4:40.8,9:14.0
#52,Frigo Riccardo  - Pesavento E. Peugeot 208 R2,Rally4,9:21.0,5:41.9,4:47.5,9:16.2,5:50.2,-,-
#53,Cabrellon Fabiano  - Gallinaro E. Peugeot 208 R2,Rally4,10:17.3,6:11.6,5:15.2,10:11.6,6:11.9,5:14.7,10:34.5
#54,Vanin Davide  - Cumerlato Mauro Peugeot 208 Rally4,Rally4,9:43.9,5:57.5,5:00.6,9:39.9,5:57.7,5:02.0,10:08.3
#55,Foffano Cristian  - Silvi Luca Peugeot 208 Rally4,Rally4,9:26.9,5:41.9,5:03.5,9:18.3,6:03.3,4:55.3,9:47.8
#56,De Toni Giulia  - Bonaiti M. Peugeot 208 Rally4,Rally4 Female,9:55.2,6:09.3,5:05.9,9:56.8,5:50.1,5:09.6,9:59.5
#57,Fortuna Mattia  - Fortuna Giuseppe Peugeot 208 R2,Rally4,10:25.8,6:44.9,5:26.0,10:20.7,6:26.1,5:21.1,10:54.6
#58,De Pretto Renzo  - Parisotto M. Peugeot 208 R2,Rally4,10:24.9,7:21.6,5:41.5,-,-,-,-
#59,Ferrante Raffaele  - Marcolini D. Ford Fiesta Rally4,Rally4,9:47.1,5:53.8,5:07.8,9:35.6,5:52.4,5:26.7,10:05.1
#6,Bianco Efrem  - Lamonato Dino Å koda Fabia Rally2 evo,R5/Rally2,8:15.4,4:54.0,4:16.5,8:08.3,4:53.3,4:13.6,8:13.5
#70,Rousopoulos Christos  - Pappas N. Peugeot 208 Rally4,Rally4,9:24.3,5:40.5,4:54.3,9:07.3,6:11.3,5:09.8,9:35.0
#71,Reginato Andrea  - Crestani Marco Toyota GR Yaris,R1T 4x4 Naz Under 25,9:31.2,5:40.3,5:00.8,9:28.9,5:36.8,4:59.7,10:08.6
#72,Pezzarini G.  - Del Mistro K. Renault Clio Williams,A7,9:46.0,5:53.7,5:08.4,9:37.9,5:47.4,5:06.9,10:12.6
#73,Doriguzzi Breatta A.  - De Cecco L. Renault Clio Williams,A7 Female,9:18.5,5:32.1,4:49.9,9:12.6,5:31.9,4:48.2,9:17.2
#74,Doriguzzi Breatta F.  - Moruzzi G. Renault Clio Williams,A7,9:25.1,5:52.2,4:56.8,9:34.0,5:56.7,5:13.0,10:31.1
#75,Cogo Claudio  - Guadagnin Carlo Renault Clio Williams,A7,8:59.2,5:20.3,4:36.4,8:48.1,5:17.5,4:35.9,8:54.5
#76,Mattiuz Alfio  - Mattiuz Alessio Renault Clio Williams,A7,13:25.6,8:38.8,7:30.5,10:33.6,6:17.4,5:44.1,10:48.2
#77,Miu Nelso  - Calligaro Giulio Renault Clio Williams,A7,9:20.0,5:37.9,4:48.9,9:21.9,-,-,-
#78,Camporese Fabio  - Candusso Moira Renault Clio Williams,A7,9:18.6,5:33.5,4:51.8,9:12.0,5:33.4,4:52.3,-
#79,Grossule Matteo  - Corradi A. Renault Clio Williams,A7,9:24.5,5:32.6,4:45.5,9:08.8,5:29.4,4:48.4,-
#8,Sossella Manuel  - Falzone G. Hyundai i20 N Rally2,R5/Rally2,8:18.7,4:54.6,4:15.5,8:05.6,4:56.8,4:11.9,8:22.1
#80,Mattana Andrea  - Asnicar Stefano Opel Astra GSi 16V,A7,12:18.1,-,-,-,-,-,-
#81,Dall'Osto Filippo  - Dai Fiori G. Peugeot 208 GTI,RSTB 1.6 Plus,9:55.0,6:01.9,5:23.0,10:02.8,6:02.9,5:15.1,10:23.5
#82,Baldo Marco  - Segato Roberto Peugeot 207 RC R3T,RSTB 1.6 Plus,9:38.6,-,-,-,-,-,-
#83,Furlan Luca  - Furlan Giorgia Opel Astra GSi 16V,N3,10:57.6,6:43.4,5:47.4,11:00.6,6:34.6,5:47.5,12:23.8
#84,Cecchin Patrik  - Casagrande M. Renault Clio RS,N3,10:16.6,38:46.6,-,-,-,-,-
#85,Mason Alessandro  - Giacomin G. Renault Clio RS,N3,9:28.8,5:44.1,4:59.1,9:32.2,5:49.1,5:10.2,10:07.7
#86,Dall'Osto Nicola  - Croce Silvia Renault Clio RS,N3,9:07.9,5:32.7,4:50.5,9:10.8,5:38.0,4:48.3,9:25.4
#87,Pederiva Ivano  - Gretter Daniele Renault Clio RS,N3,9:43.8,5:50.0,5:00.1,9:33.6,5:52.4,5:08.0,10:22.9
#88,Mezzalira NicolÃ²  - Ronzani C. Renault Clio RS Light,N3,9:19.9,5:36.0,4:50.9,9:13.6,5:38.1,4:53.5,9:28.7
#89,Puppato Alberto  - Barison Michele Renault Clio RS,N3,9:23.2,5:37.5,4:51.8,9:38.5,5:44.7,4:59.4,10:10.2
#9,Pozza Francesco  - Zortea Marco Å koda Fabia Rally2 evo,R5/Rally2,8:37.0,4:58.2,4:17.1,8:35.4,4:56.7,4:15.5,8:25.9
#90,Marini Alberto  - Morina Giuseppe Renault Clio RS,N3,9:25.2,5:37.7,4:59.8,9:09.2,5:28.6,4:56.3,9:24.7
#92,Costalunga Giovanni  - Clerici S. Renault Clio Williams,N3,9:25.2,5:43.1,4:54.3,9:17.3,5:45.4,4:52.5,10:05.2
#93,Mazzucato Marco  - Condolo Laura Renault Clio 16S,N3,10:38.2,6:42.9,5:46.1,10:35.5,6:52.1,5:55.6,12:05.5
#94,Salmaso Luca  - Scussat Omar Renault Clio Rally5,Rally5 Under 25,9:53.1,5:45.8,5:39.8,9:55.8,5:57.5,5:28.2,10:30.3
#95,Visentin Alan  - Mattucci Lorenzo Renault Clio Rally5,Rally5,9:31.0,5:38.7,4:56.6,9:22.1,5:41.9,5:02.3,9:44.7
#96,Savio Michael  - De Bernardini N. Renault Clio Rally5,Rally5 Under 25,11:01.4,-,-,-,-,-,-
#97,Pietribiasi Stefano  - Parise G. Renault Clio Rally5,Rally5,9:42.9,5:46.8,4:57.8,9:27.2,5:43.9,4:56.1,9:53.0
#98,Rigo Federico  - Castegnaro E. Renault Clio Rally5,Rally5,10:12.9,6:01.1,5:20.7,10:01.0,5:52.3,5:11.6,10:05.6
#99,Bau Michael  - Frigo Marco Renault Clio Rally5,Rally5,10:39.7,6:04.5,5:15.0,10:21.8,6:03.6,5:13.9,10:28.6
